0 0 0 0 0 0.000390548720952939 0 0 0.000195274360476469 0.000195274360476469 0.000195274360476469 0 0.000390548720952939 0.000390548720952939 0.000976371802382347 0.000781097441905878 0.00214801796524116 0.00488185901191174 0.0113259129076352 0.0230423745362234 0.0513571568053115 0.0757664518648701 0.102714313610623 0.725248974809607
0 0 0 0 0 0 0 0 0.000467435338111561 0.000623247117482082 0.000623247117482082 0.00124649423496416 0.00124649423496416 0.0015581177937052 0.00280461202866937 0.00296042380803989 0.00560922405733873 0.00358367092552197 0.00856964786537862 0.0193206606419445 0.0355250856964787 0.0660641944531007 0.0986288563415394 0.751168588345279
0.000139353400222965 0 0 0 0 0 0 0 0.000139353400222965 0.000278706800445931 0.000696767001114827 0.000557413600891862 0.00139353400222965 0.00222965440356745 0.00445930880713489 0.00529542920847269 0.00933667781493868 0.0101727982162765 0.0111482720178372 0.0178372352285396 0.0331661092530658 0.0535117056856187 0.110367892976589 0.739269788182832
0 0 0 0 0 0 0.00028336639274582 0 0.00028336639274582 0.000566732785491641 0 0.000566732785491641 0.0014168319637291 0.00198356474922074 0.00963445735335789 0.00651742703315387 0.00991782374610371 0.0138849532445452 0.0201190138849532 0.0297534712383111 0.0303202040238028 0.0425049589118731 0.0674412014735052 0.764805894020969
0 0 0 0 0 0 0 0 0 0.000371402042711235 0.00148560817084494 0.0011142061281337 0.00148560817084494 0.00167130919220056 0.0011142061281337 0.0031569173630455 0.00612813370473538 0.00538532961931291 0.0139275766016713 0.0207985143918292 0.0350974930362117 0.0551532033426184 0.0748375116063138 0.778272980501393
#-


#==========================================================================================================================
# Trawl Survey Size Composition, NOT USED IN MODEL
#==========================================================================================================================
#! Number of years: nyrs_srv1_size
15
#- Trawl Survey size comp years: yrs_srv1_size #!
1984 1987 1990 1993 1996 1999 2001 2003 2005 2007 2009 2011 2013 2015 2017
#- Number of samples: nsamples_srv1_size(1,nyrs_srv1_size) #!
4235 9584 3091 4384 4239 3471 3810 2941 4556 4723 2849 2460 3138 2325 2570
#- Number of hauls: nhauls_srv1_size(1,nyrs_srv1_size) #!
50 82 48 106 131 124 106 126 147 139 132 89 86 95 92
#- Index for size-age error matrix #!
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
#- Observed trawl survey size compositions (proportions at length): osc_srv1(1,nyrs_srv1_size,1,nlenbins) #!
0.00351375717339533 0.00377847000279694 0.00479304655263493 0.00429723987596114 0.00495234860738649 0.00802093456949589 0.0093842929657459 0.00993806176899763 0.0116218009577468 0.0130688661346683 0.0150784369103512 0.0150459520729498 0.0173303092981286 0.0224754797586366 0.0437501288041268 0.0713935007288691 0.117802064775594 0.139715875528918 0.130440244840199 0.121695609501085 0.0866154436021889 0.0674853156180099 0.0341759679363572 0.0436268520157566
0.000593061917860799 0 0.000203262245319157 0 0.000552228838124579 0.000658135106442689 0.00133371359825542 0.00341560735237507 0.00547085478613731 0.0117858744941962 0.0112705892432272 0.0297387042839755 0.0243408137417065 0.0165900438825738 0.0171389303940231 0.0127795871096626 0.0223576405831713 0.0381804853503976 0.0899662245693603 0.125642173354051 0.138953190405073 0.118235880690356 0.101613178254825 0.229179819798886
0.000127502411406528 0.000278890464632758 0.000663821255564379 0.00110099459786617 0.000552214524945624 0.00048674609322982 0.000647096122212059 0.00154457675724872 0.00260802566637279 0.00326620275643935 0.00655338159062433 0.00527833155616641 0.0068318443687785 0.00776171901451963 0.00694754004133655 0.012218283402557 0.0145813613584619 0.0410703048529779 0.0552439902759647 0.0907370366446311 0.146673846615429 0.161236979457765 0.123143145692371 0.3104461644785
0.000410651893956686 0.000321227062224411 0.000769829384771041 0.000987511475165908 0.00053260449781587 0.000910573453270952 0.000730653958486135 0.00210648153630391 0.00230806715698697 0.0020016054003125 0.00312282129055794 0.00698527168938044 0.00821016321787621 0.00551905561497702 0.00802584189804083 0.00903587699749145 0.0159873550837935 0.0203310499104078 0.0266952886016986 0.0341474967457936 0.0594601794490957 0.121278446794389 0.117793695851529 0.552328251035674
0.00015768602599728 0.000233260798266546 0.000131250175581456 0.000476441629634045 0.000674832407860576 0.000784512853547665 0.00119171851652063 0.00168781900949356 0.00338608189309207 0.00179762464988601 0.00216329202745982 0.00606612165611655 0.00196639040730756 0.00563202548827146 0.00182684114059981 0.0025629728297212 0.00232318543378844 0.0267780734375207 0.0309121574545608 0.0354070163718731 0.0538330973308808 0.0777479349108642 0.128248813723335 0.614010849827821
0.000322126878742479 0.000661315562503098 0.000417194137496667 0.00268523050722341 0.00245622416325272 0.00151479963343411 0.00149714262315239 0.00164241298451471 0.00123678731022378 0.00201606539560508 0.00190915444715109 0.0039380838843364 0.00491074102719674 0.0079742200042 0.00513706670986753 0.00953668528622381 0.0105617137794382 0.0231682395786215 0.0171752609868794 0.0530373962320598 0.0510251772945303 0.121347265015032 0.126851517432186 0.548978179126129
0.00035376145245642 0 0.000188529760094883 0 0.000536766028393984 0.00109426085152716 0.0012559878559695 0.00247717827672699 0.00384864622324416 0.00579536940427153 0.00697795836912179 0.0181141354128846 0.0112102120170311 0.00719569801927636 0.00989404580088311 0.0147975906156082 0.0207492242011597 0.0396464016839065 0.06409899593435 0.0767755020269007 0.0630623192256091 0.0782659298074867 0.0706265208365608 0.503034966196537
4.70345960589782e-05 0.000111551276831391 0.0001775154071045 1.3287486246882e-05 4.47782777196565e-05 0.00019889408597552 0.000239998646709844 0.000286176793410278 0.000124175140037296 0.00145640215115537 0.000379634951482958 0.000818420001939031 0.00117964630068908 0.00133443825317537 0.0634923072378848 0.0341421658605087 0.0117433681551368 0.0130614687603147 0.02114060347901 0.0254749759834195 0.0314661923439763 0.0520259378442897 0.0554038968220432 0.68563713014488
6.49579319701609e-05 0 3.17271380687591e-05 3.43913077619797e-05 0.000102992713480467 0 0.000102992713480467 0.000167626781117443 8.16408006569418e-05 0.000414870210809425 0.00202736759256871 0.00229235030555809 0.00606997714285058 0.00215066351531762 0.00639994477650456 0.00334813646515644 0.00719443796319516 0.0177605388220359 0.0380923406844741 0.0618399088247876 0.0699131950668846 0.0836626895445408 0.0926912714702823 0.605555978228498
0.000710907592207381 0.00114298778744052 0.000355453796103691 0.00106452270288542 0.000931647761444557 0.000714106252060293 0.000566706783736312 0.000615056594574205 0.00117003495884984 0.000491647075147063 0.00106105204814705 0.0014822959671438 0.00256834978516158 0.00215250224469219 0.0018365529857515 0.00771829006650852 0.00637637609964404 0.0130917013457426 0.0117779334096246 0.0322029650205982 0.039699067905079 0.0562354321579314 0.0815489299269695 0.734485479732557
0 0 0.000121306138187632 0.000125663417123892 0.000125663417123892 0.000369899366581663 0.000125663417123892 0.000376996593844654 0.000750834636145993 0.000125663417123892 0.000236466420059055 0.000406685709857218 0.000251333176720762 0.000535888226903138 0.000170219289798163 0.000148255305873465 0.000703310486117763 0.00181021155527922 0.00361920535574655 0.0148257716013197 0.0123962809844155 0.0183994950833371 0.0442139689834171 0.9001612174179
0 0 0 0 9.56691167316194e-05 0 0 7.08676099143601e-05 8.3987670451654e-05 0.000119422744028109 0.000670264844749075 0.000682796265942983 0.001317077993589 0.0010039827566325 0.0012623167739842 0.00381900071930459 0.00161524411892272 0.00424212076870341 0.00502861143690875 0.0118458897848084 0.0132541053870804 0.0343864785544136 0.0400745867956691 0.880427576658166
0 0 0 0.000929261211103509 0 0 0 0.000480360978354909 0 0 0.00232227857230626 0.000960702306025491 0.000743090627796722 0.00420974645252582 0.00209818216824983 0.00214023463270798 0.00572530548118699 0.00715842988909959 0.00853562844941972 0.0125986432420815 0.0070193619961228 0.025078262289199 0.0528802076794363 0.867120304024384
0 8.47395289426703e-05 0 0 0.000124542982169714 0.000140405587756933 0.00014772521317008 0.00014772521317008 0.000293871683603991 0.000404246987453021 0.00138392178189508 0 0.0014910575876621 0.00126267980726463 0.000971972443517113 0.00442062318333954 0.00421631610388053 0.00819466578641622 0.00742011136314573 0.00806245462524225 0.013521015727811 0.0164009090195643 0.0324827548155874 0.898828260558408
0 0 0.000388397295548863 0 0 0 0 0 0.000378318698696325 0.000756637397392651 0.00108829556826833 0.00206444384065023 0.00129320453355926 0.00378109411087043 0.00160291161693601 0.00397609808193404 0.00472404570347584 0.00935056530994415 0.0189315688156756 0.0184791893081461 0.022758002145497 0.0398617571432754 0.0589309735515629 0.811634496878567
#-


#==========================================================================================================================
# Longline Survey Size Composition, NOT USED IN MODEL, include one year of fake data
#==========================================================================================================================
# Number of years: nyrs_srv2_size
1
# Longline Survey size comp years: yrs_srv1_size
1999
# Number of samples: nsamples_srv2_size(1,nyrs_srv2_size)
99
# Number of hauls: nhauls_srv2_size(1,nyrs_srv2_size)
99
# Index for size-age error matrix
1
# Observed longline survey size compositions (proportions at length): osc_srv2(1,nyrs_srv2_size,1,nlenbins)
0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667


#==========================================================================================================================
# Size-age transition matrix: proportion at size given age: sizeage(1,nages,1,nlenbins)
#==========================================================================================================================
0.8912 0.064 0.0295 0.011 0.0033 8e-04 2e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.2087 0.1552 0.1818 0.1726 0.1327 0.0827 0.0417 0.0171 0.0057 0.0015 3e-04 1e-04 0 0 0 0 0 0 0 0 0 0 0 0
0.0057 0.0136 0.0348 0.0722 0.1213 0.1652 0.1826 0.1637 0.1189 0.0701 0.0335 0.013 0.0041 0.001 2e-04 0 0 0 0 0 0 0 0 0
0 2e-04 9e-04 0.0036 0.0117 0.0308 0.0657 0.1137 0.1597 0.182 0.1683 0.1263 0.0769 0.038 0.0153 0.005 0.0013 3e-04 0 0 0 0 0 0
0 0 0 1e-04 3e-04 0.0015 0.0056 0.0168 0.0409 0.0811 0.1306 0.1707 0.1812 0.1562 0.1093 0.0621 0.0287 0.0107 0.0033 8e-04 2e-04 0 0 0
0 0 0 0 0 0 2e-04 0.0011 0.0041 0.013 0.0335 0.0698 0.1182 0.1626 0.1818 0.1651 0.1218 0.073 0.0356 0.0141 0.0045 0.0012 3e-04 0
0 0 0 0 0 0 0 0 3e-04 0.0012 0.0047 0.0145 0.0364 0.0743 0.1231 0.1658 0.1816 0.1616 0.1169 0.0687 0.0328 0.0128 0.004 0.0013
0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0022 0.0075 0.0214 0.0495 0.0929 0.1418 0.176 0.1776 0.1458 0.0973 0.0528 0.0233 0.0115
0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0013 0.005 0.0151 0.0376 0.0759 0.1247 0.1667 0.1811 0.1601 0.1151 0.0673 0.0496
0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0041 0.013 0.0333 0.0694 0.1174 0.1617 0.1811 0.1651 0.1225 0.131
0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0043 0.0135 0.0342 0.0707 0.1189 0.1626 0.1811 0.1641 0.2493
0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0015 0.0054 0.0162 0.0396 0.0788 0.1276 0.1682 0.1805 0.3817
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0022 0.0078 0.0218 0.0501 0.0934 0.1419 0.1756 0.5065
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.001 0.0039 0.0122 0.0316 0.0665 0.1139 0.1589 0.6118
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.002 0.0071 0.0203 0.0472 0.0895 0.1382 0.695
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0043 0.0134 0.0341 0.0703 0.1181 0.7584
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.0028 0.0092 0.0251 0.0557 0.1006 0.8057
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0019 0.0066 0.0191 0.0449 0.0862 0.841
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0013 0.0049 0.0149 0.0369 0.0745 0.8672
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.001 0.0038 0.012 0.0309 0.0652 0.8869
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.003 0.0099 0.0265 0.0579 0.9018
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 6e-04 0.0025 0.0083 0.0231 0.0521 0.9133
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0021 0.0072 0.0205 0.0475 0.9221
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0018 0.0064 0.0185 0.0438 0.929
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0016 0.0057 0.0169 0.0408 0.9345
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0014 0.0052 0.0157 0.0384 0.9389
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0013 0.0048 0.0147 0.0365 0.9423
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0012 0.0045 0.0139 0.0349 0.9452
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0043 0.0133 0.0336 0.9475
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0041 0.0128 0.0325 0.9493
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.001 0.0039 0.0123 0.0316 0.9508
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.001 0.0038 0.012 0.0309 0.9521
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0037 0.0117 0.0303 0.9531
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0036 0.0115 0.0298 0.954
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0035 0.0113 0.0294 0.9547
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0035 0.0111 0.029 0.9553
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0034 0.011 0.0287 0.9558
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0034 0.0109 0.0285 0.9562
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0033 0.0108 0.0283 0.9565
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0033 0.0107 0.0281 0.9568
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0033 0.0106 0.028 0.957
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0033 0.0106 0.0279 0.9572
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0033 0.0105 0.0278 0.9574
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0033 0.0105 0.0277 0.9575
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0032 0.0105 0.0276 0.9576
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0032 0.0105 0.0276 0.9577
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0032 0.0104 0.0275 0.9578
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0032 0.0104 0.0275 0.9578
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0032 0.0104 0.0275 0.9579
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0032 0.0104 0.0274 0.9581
#


#==========================================================================================================================
# Ageing error matrix: proportion at reader age given true age: ageage(1,nages,1,nages)
#==========================================================================================================================
0.9732 0.0268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0432 0.9137 0.0432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0.0614 0.8771 0.0614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.0805 0.839 0.0805 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1e-04 0.0994 0.8011 0.0994 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 2e-04 0.1177 0.7642 0.1177 2e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 5e-04 0.1351 0.7289 0.1351 5e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0.001 0.1512 0.6955 0.1512 0.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0.0019 0.166 0.6642 0.166 0.0019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0.0033 0.1792 0.6349 0.1792 0.0033 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0.0051 0.191 0.6076 0.191 0.0051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0.0075 0.2014 0.5822 0.2014 0.0075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1e-04 0.0104 0.2103 0.5584 0.2103 0.0104 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1e-04 0.0138 0.2179 0.5363 0.2179 0.0138 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0177 0.2242 0.5157 0.2242 0.0177 2e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 4e-04 0.022 0.2294 0.4965 0.2294 0.022 4e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 7e-04 0.0266 0.2335 0.4785 0.2335 0.0266 7e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001 0.0314 0.2367 0.4617 0.2367 0.0314 0.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0015 0.0364 0.2391 0.4459 0.2391 0.0364 0.0015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0022 0.0415 0.2407 0.4311 0.2407 0.0415 0.0022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.003 0.0467 0.2417 0.4172 0.2417 0.0467 0.003 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0039 0.0518 0.2421 0.4041 0.2421 0.0518 0.0039 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.005 0.0568 0.2421 0.3918 0.2421 0.0568 0.005 2e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0063 0.0618 0.2416 0.3802 0.2416 0.0618 0.0063 3e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e-04 0.0078 0.0666 0.2407 0.3692 0.2407 0.0666 0.0078 4e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5e-04 0.0094 0.0712 0.2395 0.3588 0.2395 0.0712 0.0094 5e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7e-04 0.0111 0.0756 0.2381 0.3489 0.2381 0.0756 0.0111 7e-04 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001 0.013 0.0797 0.2365 0.3396 0.2365 0.0797 0.013 0.001 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0013 0.015 0.0837 0.2346 0.3307 0.2346 0.0837 0.015 0.0013 1e-04 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0017 0.0171 0.0874 0.2326 0.3222 0.2326 0.0874 0.0171 0.0017 1e-04 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0022 0.0192 0.0909 0.2305 0.3142 0.2305 0.0909 0.0192 0.0022 1e-04 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0027 0.0215 0.0941 0.2282 0.3066 0.2282 0.0941 0.0215 0.0027 2e-04 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0033 0.0238 0.0971 0.2259 0.2993 0.2259 0.0971 0.0238 0.0033 3e-04 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e-04 0.004 0.0261 0.0999 0.2235 0.2923 0.2235 0.0999 0.0261 0.004 4e-04 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5e-04 0.0047 0.0284 0.1025 0.2211 0.2856 0.2211 0.1025 0.0284 0.0047 5e-04 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6e-04 0.0055 0.0308 0.1048 0.2186 0.2793 0.2186 0.1048 0.0308 0.0055 6e-04 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 8e-04 0.0064 0.0331 0.107 0.2161 0.2732 0.2161 0.107 0.0331 0.0064 8e-04 1e-04 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.001 0.0073 0.0354 0.1089 0.2136 0.2673 0.2136 0.1089 0.0354 0.0073 0.001 1e-04
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0012 0.0083 0.0377 0.1107 0.2111 0.2617 0.2111 0.1107 0.0377 0.0083 0.0013
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0015 0.0094 0.04 0.1123 0.2086 0.2564 0.2086 0.1123 0.04 0.011
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0018 0.0105 0.0422 0.1137 0.206 0.2512 0.206 0.1137 0.0547
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0021 0.0117 0.0443 0.1149 0.2035 0.2462 0.2035 0.1733
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0025 0.0129 0.0464 0.1161 0.2011 0.2415 0.3793
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e-04 0.0029 0.0141 0.0485 0.117 0.1986 0.6184
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0033 0.0154 0.0505 0.1179 0.8124
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 6e-04 0.0038 0.0167 0.0524 0.9265
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 8e-04 0.0043 0.018 0.9768
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 9e-04 0.0049 0.994
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.9987
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.9998
#


#==========================================================================================================================
# EOF marker
#==========================================================================================================================
42
#!
